date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-02-18 14:50:23+00:00,Hisseria34,"Cuma hep aynı,sabah kaldır akşam boşalt. 29,62 üstünde kapatsaydı süper ötesi olurdu. Şimdi 28,62 üstüne razı ettiler...YTD #THYAO",0,4,697,False,['THYAO'],
2022-02-18 14:49:10+00:00,CemalX9,Ben risk alıyorum ve #thyao ekleme yapıyorum.,0,13,6090,False,['thyao'],
2022-02-18 13:54:22+00:00,Mustafa18277125,"#thyao yükselen takoz kırıldı. Buradan 29,20 ihtimal sonrasında 28,60 kırılır mı?",0,0,10,False,['thyao'],
2022-02-18 13:27:03+00:00,borsavi,"#XU100 
#thyao
#asels

oturduğunuz koltuğa sokuyum
dibimizde savaş riski var, savunma sanayi şirketi havacılık şirketinden daha çok düşüyor, yok ebenin ...",0,5,371,False,"['XU100', 'thyao', 'asels']",
2022-02-18 13:00:18+00:00,TarhanmesutMt,"#bist100 Endeks sinsi sinsi ABD açılışını bekliyor, ne olsa da bi düşsem diye 😊 düşmelere gelemiyesice #sasa #thyao #krdmd",1,6,1627,False,"['bist100', 'sasa', 'thyao', 'krdmd']",
2022-02-18 11:47:39+00:00,Muhtar45140,"Dalgalı kura geçilmeden borsadan bir cacık olmaz, temettü yatırımcısı için sorun görmüyorum yavaş yavaş biriktirdiği için her durumda kazanacak.. #BIST30 #KRDMD #kchol #THYAO  #euro #dolar",0,1,2562,False,"['BIST30', 'KRDMD', 'kchol', 'THYAO', 'euro', 'dolar']",
2022-02-18 09:57:34+00:00,asivemavi60,11bin takipçi sayısına az kalmışız. #bist #hisse #sasa #hekts #garan #nthol #aksa #aksen #kchol #arclk #thyao #varant konularında daha çok kişiye ulaşmak için bu tweet'i herkes beğenip RT yağmuruna tutarsa çok sevinirim. Bakalım kimler sesimizi duyuyor,46,169,28601,False,"['bist', 'hisse', 'sasa', 'hekts', 'garan', 'nthol', 'aksa', 'aksen', 'kchol', 'arclk', 'thyao', 'varant']",
2022-02-18 09:06:06+00:00,WhiteBist,"#THYAO satış gelirse #BİST negatifleşir.
#SPX dirençte.",0,1,43,False,"['THYAO', 'BİST', 'SPX']",
2022-02-18 09:02:08+00:00,onurfg,#thyao Rusya olayı kapandı sanırım artık başlasın hareket,0,2,783,False,['thyao'],
2022-02-18 08:42:29+00:00,BilancoAnaliz,Deli gibi #thyao alıyorlar.  savaş riski bitti mi veya yine  trick …,1,3,420,False,['thyao'],
2022-02-18 08:32:07+00:00,mamieylull,#THYAO AL AL AL SAT SAT SAT AL AL AL SAVAŞ ÇIKTI SAT SAT SAT  REZALET BORSA. KRAVATLI HIRSIZLARA PARA KAYBETMEYİN ÇIKIN #BORSA dan,0,0,22,False,"['THYAO', 'BORSA']",
2022-02-18 08:03:07+00:00,m_mekmen,#thyao iyi çalkalıyorlar hayırdır inş 29.10 dan 29.48,0,1,136,False,['thyao'],
2022-02-18 07:50:22+00:00,m_mekmen,"#thyao destekler 28.74 ve 28.56 risk almak istemezse piyasa haftasonu , buralar kapanışda gösterirler",0,2,136,False,['thyao'],
2022-02-18 07:19:05+00:00,Meltemguvendik_,Dün kapanışta topladığım malları inşallah bugün veririm 😏 #thyao #KOZAA #ASELS,0,0,84,False,"['thyao', 'KOZAA', 'ASELS']",
2022-02-18 07:13:18+00:00,smailToraman6,"#thyao
27.90 ile 28.52 arasında 9 tane destek noktan var ya oraları iğne at yada yatay'dan yukarı çek kaçar'ın yok...vaktimiz bol elhamdülillah...bekleriz ordan almak için ...ytd...",0,0,51,False,['thyao'],
2022-02-18 06:47:11+00:00,efekentli__,"#THYAO 

28,52 destek olan hissede

29,35 ve 30,08 dirençler olarak takibimde.",70,280,117543,False,['THYAO'],
2022-02-18 06:28:22+00:00,teknolojikolik,"#BIST'te dün gerçekleşen #açığasatış işlemlerinin toplam #XU050 işlem hacmine oranı %19.0. Açığa satış işlem yoğunluğunda önceki güne göre artış gözlemliyoruz.  
Açığa satışa en çok konu olan ilk 5 şirket ise #THYAO, #KRDMD, #EREGL, #YKBNK ve #SISE oldu.",0,1,16983,False,"['BIST', 'açığasatış', 'XU050', 'THYAO', 'KRDMD', 'EREGL', 'YKBNK', 'SISE']",
2022-02-18 06:27:24+00:00,YFinansman,"#BIST'te dün gerçekleşen #açığasatış işlemlerinin toplam #XU050 işlem hacmine oranı %19.0. Açığa satış işlem yoğunluğunda önceki güne göre artış gözlemliyoruz.  
Açığa satışa en çok konu olan ilk 5 şirket ise #THYAO, #KRDMD, #EREGL, #YKBNK ve #SISE oldu.",1,10,59723,True,"['BIST', 'açığasatış', 'XU050', 'THYAO', 'KRDMD', 'EREGL', 'YKBNK', 'SISE']",
2022-02-17 20:35:57+00:00,Yusuf90945920,"Takip edelim
   
       @2727mmg

Ekonomiye borsaya ticarete ilgin merakın varsa hemen takip et..

O da bizden biri dürüst namuslu iyi kalpli kısacası adam gibi adam @2727mmg

#BIST30 #bist100 #thyao #otkar #eregli #aksa #btc #ETH",0,1,39,False,"['BIST30', 'bist100', 'thyao', 'otkar', 'eregli', 'aksa', 'btc', 'ETH']",
2022-02-17 19:33:43+00:00,abaybekircan,"#thyao bu fiyatlarda durmasını beklemiyorum bilanço iyi geleceğini düşünüyorum, yabancılar ve yerli fon şirketleri hissede hareketini sağlıyorlar..",1,24,16143,False,['thyao'],
2022-02-17 19:31:01+00:00,Ekonomi__finans,"#xu100 1992 1883 destekler 2032 direnç YTD 
#eregl 27, 34 dstk 29,36 drnç 
#asels 21,55 dstk  22,47 drnç
#thyao 27,42 dstk  29,40 drnç
#bimas 73,48 dstk 76,2 drnç 
#krdmd 11,28 dstk 12,03 drnç 
#sise 12,78 dstk 13,33 drnç 
YTD Mumlarını beğenmedim şahsi görüşüm .",4,31,9286,False,"['xu100', 'eregl', 'asels', 'thyao', 'bimas', 'krdmd', 'sise']",
2022-02-17 17:00:33+00:00,seulementt_,"ne bedelsiz gelsin ne bedelli ne de temettü, istemez. geri alım yapın kardeşim geri alım. yapılan her haber tahtaları karıştırıp çorba yapmaktan başka işe yaramıyor
#eregl #medtr #thyao #sasa",0,4,62,False,"['eregl', 'medtr', 'thyao', 'sasa']",
2022-02-17 16:55:20+00:00,zfrakyuz,Tavan yapana savaş yokta % 3-5 düşenemi savaş var dangalak #bist #bist30 #bist100 #thyao #eregl,0,2,119,False,"['bist', 'bist30', 'bist100', 'thyao', 'eregl']",
2022-02-17 16:28:36+00:00,rasim1,#THYAO Ukrayna krizi bahane edilerek aşağı yukarı hareket ediyor ise de orta ve uzun vadeli yatırım için düşüşler alım fırsatıdır.,0,1,698,False,['THYAO'],
2022-02-17 16:12:08+00:00,karahanlilar__,putin ukrayna'ya donup osturdu mu? ne oldu endekse? #bist100 #bist30 #thyao #garan,0,1,17,False,"['bist100', 'bist30', 'thyao', 'garan']",
2022-02-17 15:11:54+00:00,Hisseria34,"#THYAO SAFA programında 2021 yılını başarı ile tamamladı.
 Bu denetimlerde sıfıra yakın (0.054 bulgusuzluk) bir oran ile Avrupa'nın en başarılı havayolu şirketleri arasında yer aldı. Bu oran  Türk Hava Yolları'nın bugüne kadar ortaya koyduğu en başarılı performans oldu. YTD",1,2,697,False,['THYAO'],
2022-02-17 15:02:34+00:00,riddick33333,"Evet almaya başladık, hayırlısı bakalım biraz daha satın alak 🤗#THYAO",0,0,190,False,['THYAO'],
2022-02-17 14:49:47+00:00,Adnan_Bist,#eregl #thyao #tuprs vs vs yine sürekli toparlıyor bir şekilde. Ama bazı yan tahtalar gerçekten artık suyunu çıkardı.,0,2,1565,False,"['eregl', 'thyao', 'tuprs']",
2022-02-17 14:48:37+00:00,airdinch,#THYAO tabana verin,0,0,268,False,['THYAO'],
2022-02-17 14:43:40+00:00,CarpediemBorsa,"#Bist100 Gelişmeleri kenardan izliyoruz :))

#bist100 #thyao #eregl #krdmd #viop",0,6,2831,False,"['Bist100', 'bist100', 'thyao', 'eregl', 'krdmd', 'viop']",
2022-02-17 14:20:23+00:00,TkandBaba6,"Sizce #bist100 hangi yöne kırılacak?
#eregl #thyao #garan #asels",0,2,113,False,"['bist100', 'eregl', 'thyao', 'garan', 'asels']",
2022-02-17 14:15:56+00:00,m_mekmen,#thyao karanlık odada kapanışta daha düşükden alınabilir suan 29.56,0,2,136,False,['thyao'],
2022-02-17 14:03:19+00:00,OrtayaTrader,Yabancı #thyao satıp #eregl aldı,0,0,147,False,"['thyao', 'eregl']",
2022-02-17 11:52:06+00:00,onurfg,#thyao biraz short açım bari :),0,0,783,False,['thyao'],
2022-02-17 11:31:27+00:00,Hisseria34,Yf'nin bir gün girdiği hisse ertesi gün düşüyor. #thyao,0,1,697,False,['thyao'],
2022-02-17 09:39:18+00:00,borsa_curve,Ukrayna- Rusya gerginliğinden kaynaklı piyasa satış yedi ama haber kaynakları çok belirsiz ve spekülatif.#bist #bist100 #eregl #thyao #endeks #viop,0,1,2647,False,"['bist', 'bist100', 'eregl', 'thyao', 'endeks', 'viop']",
2022-02-17 09:30:06+00:00,onurfg,#thyao olmasa endeks bitmiş :),0,1,783,False,['thyao'],
2022-02-17 09:00:29+00:00,YasinBTC,"Böyle zamanlarda panikle satış yapmak en çok zararın yaşanacağı durumdur. Zarara geçseniz bile sakin kalıp izlemekte her zaman fayda var. Dünya yıkılmıyor. Hisselerinizle doğrudan ilgisi yok aslında bunların. Algınızı bağlamayın.
#THYAO #Petkm #Tupras #Garan #Halkb #Asels #Bimas",0,5,320,False,"['THYAO', 'Petkm', 'Tupras', 'Garan', 'Halkb', 'Asels', 'Bimas']",
2022-02-17 08:15:04+00:00,Meltemguvendik_,"Piyasa merkez bankası nı fiyatlıyor. Bankalar yerinde  sayıyor, yine yük bizimkinde #thyao",0,3,84,False,['thyao'],
2022-02-17 08:12:28+00:00,Meltemguvendik_,Suç bende sever gibiyim gel benim ol da rahat edeyim 👅😁 #thyao #kozaa #aselsan,0,1,84,False,"['thyao', 'kozaa', 'aselsan']",
2022-02-17 08:11:18+00:00,i_aksu07,"#thyao Arkadaşlar sıkışma mevcuttu artık yükseliş kaçınılmaz ve açıkçılar titriyor şuan, unutmayın bilanço yaklaşıyor 👍😉",1,3,19,False,['thyao'],
2022-02-17 08:11:08+00:00,CarpediemBorsa,"#bist100 

MB kararı bekleniyor ve faizde değişiklik beklenmiyor...

Bugün 2055 direnç kırılma günü olabilir ancak Ukrayna krizi için önümüzdeki hafta çok önemli olacak !...

18-25 Şubat çok dikkatli olalım!...

#bist100 #viop #asels #eregl #thyao",0,6,2831,False,"['bist100', 'bist100', 'viop', 'asels', 'eregl', 'thyao']",
2022-02-17 08:10:33+00:00,Meltemguvendik_,#thyao 30.48 trknik hedef kırarsa 30.72,0,1,84,False,['thyao'],
2022-02-17 07:58:22+00:00,fthborsa,#THYAO'da açıkçı.avi filmi mi başladı?,0,2,25,False,['THYAO'],
2022-02-17 06:45:29+00:00,efekentli__,"#THYAO 

29,60 ve 28,90 destek

30,15 ve 30,66 dirençler 

olarak izlediğim seviyeler",132,313,117543,False,['THYAO'],
2022-02-17 06:27:31+00:00,YFinansman,"#BIST'te dün gerçekleşen #açığasatış işlemlerinin toplam #XU050 işlem hacmine oranı %17.9. Açığa satış işlem yoğunluğunda önceki güne göre artış gözlemliyoruz.  
Açığa satışa en çok konu olan ilk 5 şirket ise #THYAO, #EREGL, #YKBNK, #KRDMD ve #SISE oldu.",0,11,59723,True,"['BIST', 'açığasatış', 'XU050', 'THYAO', 'EREGL', 'YKBNK', 'KRDMD', 'SISE']",
2022-02-17 06:26:50+00:00,bayido1,"Yedek Hesabıma 1 k olmasına son 14 kişi @FarukHesap takip edeni hemen takip ediyorum...
#Bist #Borsa #Sasa #Esen #EREGL 
#Ford #TOASO #thyao #ENKAI",3,14,29757,False,"['Bist', 'Borsa', 'Sasa', 'Esen', 'EREGL', 'Ford', 'TOASO', 'thyao', 'ENKAI']",
2022-02-17 05:13:48+00:00,cngzbakr,#thyao onunla uçmak ayrıcalık.,2,84,33793,False,['thyao'],
2022-02-16 21:12:59+00:00,zeynepxaktas,"Türk Hava Yolları, hacimde, açığa satışta, gün içerisindeki harekette öne çıkıyor. Şirketin günlük hareketlerini ve hacmini nasıl yorumluyorsunuz?
#THYAO",7,605,185067,False,['THYAO'],
2022-02-16 21:00:10+00:00,rasgun66,#sise #asels #eregl #petkm #toaso diye bas bas bağıran arkadaşlar.. biraz #thyao niye coştu diye sebeplerini inceleyin.. duvarımı okuyun bir zahmet.. gruplarda konuşmamdan rahatsız oluyosanız..🙃,0,9,568,False,"['sise', 'asels', 'eregl', 'petkm', 'toaso', 'thyao']",
2022-02-16 20:56:43+00:00,rasgun66,"istanbul HL. Hava trafik kontrol kulesi
Temeli 2016 Ekim ayında atılan, 90 metre yüksekliğinde ve 17 katlı olarak projelendirilen hava trafik kontrol kulesi, lale figürlü tasarımı ile 2016 Uluslararası Mimarlık Ödülünü kazandı.#thyao",0,8,568,False,['thyao'],
2022-02-16 20:55:07+00:00,rasgun66,"istanbul Havalimanında COVID-19 dolayısıyla 5,000 m2'lik bir alana kurulan test merkezi mevcuttur. PCR, Antikor ve Antijen testleri yapılmakta olup günlük 10,000 test kapasitesine sahiptir.#thyao",0,8,568,False,['thyao'],
