date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2022-05-15 18:36:06+00:00,tradervolkan,"Sağlık önemli. Bim 'de ilaç satılamadığı için Selçuk abinin eczaneye gidicez bu hafta tofaş ' ımıza atlayıp
#selec #bimas #toaso #xu100 #xu30 #btc #ftm #ltc #xrp",0,2,15,False,"['selec', 'bimas', 'toaso', 'xu100', 'xu30', 'btc', 'ftm', 'ltc', 'xrp']",
2022-05-15 18:32:23+00:00,Riogallegos7,7 Kasım 2021 tarihinde başladığım temettü yolculuğumda  1891 lotus #isdmr ile başlayan süreçte 150 bin TL'lik portföyü geçmiş bulunmaktayım. Hedef en kısa zamanda 200 bin TL. #eregl #sasa #hekts #toaso #froto ##vesbe #ttrak,1,3,144,False,"['isdmr', 'eregl', 'sasa', 'hekts', 'toaso', 'froto', 'vesbe', 'ttrak']",
2022-05-15 18:27:00+00:00,AyanKapgan,"16-20/Mayıs/2022 tarihleri arası birikimini BİST de yatırım yaparak değerlendiren tüm BİST yatırımcılarına bol kazançlar diliyorum.Hem biz, hem şirketlerimiz, hem de ülkemiz Türkiye 🇹🇷❤️kazansın.#rtalb #aksgy #algyo #petun #safkr #yayla #kontr #krdmd #toaso #ismen  #borsa #hisse",0,6,266,False,"['rtalb', 'aksgy', 'algyo', 'petun', 'safkr', 'yayla', 'kontr', 'krdmd', 'toaso', 'ismen', 'borsa', 'hisse']",
2022-05-15 16:47:10+00:00,volkandukkancik,"Yine kısa bir soru cevap yapalım mı? Saat  22:00'e kadar bu tweet altına yazacağınız ilk 10 #hisse nin teknik analizini yapalım beraber..

#akbnk #AKSA #ASELS #BIMAS #INDES #KRDMD #sasa #thyao #TOASO #TRGYO

 #bist #dolar #Brent #FED #RusyaUkrayna #ALTIN #Bitcoin #Hisse",1,20,3752,False,"['hisse', 'akbnk', 'AKSA', 'ASELS', 'BIMAS', 'INDES', 'KRDMD', 'sasa', 'thyao', 'TOASO', 'TRGYO', 'bist', 'dolar', 'Brent', 'FED', 'RusyaUkrayna', 'ALTIN', 'Bitcoin', 'Hisse']",
2022-05-15 16:41:37+00:00,finansalyazar,"Sürekli bir döngüden söz edilir katıldığım yanları fazladır ama bir döngü varsa borsada;
Bu döngü herkesin yatırım yapması ama sonunda sürekli #aksa #hekts #sasa #eregl #isdmr #froto #toaso #ttrak yatırımcısının kazanmasıdır....",37,529,31204,False,"['aksa', 'hekts', 'sasa', 'eregl', 'isdmr', 'froto', 'toaso', 'ttrak']",
2022-05-15 14:20:47+00:00,TeknikAvcisi,"Ben kimsenin hissesine laf etmem herkesin kendince bi sebepleri vardır saygı duyarım ama 
#eregl #aksa #sasa ( erdemoğlu ndan sonrası ) #hekts #froto #toaso #ttrak iyi hisseler
#sahol #zoren #katmr #petkm lanetli 
#asels ucuz 
#halkb geri alım yapması lazım ayıvı geçti 20 idi yt",0,21,2653,False,"['eregl', 'aksa', 'sasa', 'hekts', 'froto', 'toaso', 'ttrak', 'sahol', 'zoren', 'katmr', 'petkm', 'asels', 'halkb']",
2022-05-14 18:43:39+00:00,ZaferIn27193849,"takipteki hisselere iki tane ilave,#almad,#toaso,YTD",0,4,55,False,"['almad', 'toaso']",
2022-05-14 18:05:53+00:00,Arzu6235,#toaso 75.70 artık hissede sağlam destek 80.15  üstü güzel 84.40 ytd,1,146,65857,False,['toaso'],
2022-05-14 09:42:53+00:00,borsaemre,#eregli #toaso alip unutsaydın sözlerine karşıyım  türkiyenin en buyuk bankasi garanti yi alıp unutanlar battı %50 bile yapamadi 12 senede ezbere bu işler olmuyor şirketlerinizi blançolarinizi takip edeceksiniz,16,692,32159,False,"['eregli', 'toaso']",
2022-05-14 08:46:46+00:00,MRKEYNES2,"#TOASO : HAH, ŞÖYLE ADAM GİBİ KAĞIT. BACASI TÜTER, TEMETTÜ VERİR, UZUN VADEDE ORTA VADEDE KAZANDIRIR. NEDİR BU ALTTAKİ YAZDIĞIM KAĞITLAR ? ÖNÜNDE 78,90 VE 79,95 VAR. *BUNLAR BILGI AMAÇLIDIR. ASLA ALIM, SATIM TAVSIYESI DEGILDIR.*",0,11,1991,False,['TOASO'],
