date,user,tweet,rt,fav,followers,verified,hashtags,cashtags
2021-05-07 19:47:23+00:00,AkifSeckin0027,"#TUPRS Türkiyenin Göz Bebegi Şirketimizin. 
Son Gelen Bilançosundaki İyileşmeler  Oldukca Olumlu.
Eger #BİST Yeni Bir Ralli Gelecekse Bunun #bist30'la olacagını Düşünüyorum. 
#TUPRS Orta Uzun Vade Takibime Alıyorum. 96,60

Kesinlikle YTD

#bist100 #xu100",0,4,1219,False,"['TUPRS', 'BİST', 'bist30', 'TUPRS', 'bist100', 'xu100']",
2021-05-07 18:54:19+00:00,denizmustafatr,"Bir soru, #TUPRS a bakiyordum, 2012-2014 arasi yaklasik $3.3 milyarlik bir sermaye harcamasi yapmislar sebebini bilen var mi ? Son senelerde yaptiklari sermaye harcamalari cok daha az tabiki. Eski raporlari okumaya 😁, sirketi tanimadigim icin de cok detay bilmiyorum. Tesekkurler",4,146,64020,False,['TUPRS'],
2021-05-07 18:15:05+00:00,198iki,"Uzun vade portföyünüzdeki şirketler için lot hedefiniz nedir?
Örn.. A hissesi için
1- Toplamda hedef 20.000 tl'lik alım yapacağım 
2- Toplamda 1000 lot alım yapacağım.
3-Hedefim yok. Eşit alım
#eregl #vesbe #tuprs #hekts #kords #petkm #sise #akgrt #aksa #cimsa #alka #bist #sasa",0,0,1254,False,"['eregl', 'vesbe', 'tuprs', 'hekts', 'kords', 'petkm', 'sise', 'akgrt', 'aksa', 'cimsa', 'alka', 'bist', 'sasa']",
2021-05-07 17:54:24+00:00,iamsungur,portföyün güncel hali:#tuprs #tavhl #thyao #bimas #tcell #asels #ttkom #vestl #toaso #alkim #sise,0,0,17,False,"['tuprs', 'tavhl', 'thyao', 'bimas', 'tcell', 'asels', 'ttkom', 'vestl', 'toaso', 'alkim', 'sise']",
2021-05-07 17:39:25+00:00,kardanadamdond1,"#petkm
#tuprs
07 mayıs garipliği
PETKİM   %5,36 AZALIŞ    884 milyon kar
TÜPRAŞ %5,34 ARTIŞ       960 milyon zarar",0,1,13647,False,"['petkm', 'tuprs']",
2021-05-07 16:19:18+00:00,Profahmet_,"BİZ  BORSA İSTANBULDA 7 TL ALTINDA BANKA HİSSESİ GÖRMEK İSTEMİYORUZ.

#vakbn #akbnk #garan #halkb #tskb #ykbnk #skbnk #ALBRK #ısbtr #ISCTR #klnma #ICBCT #qnbfb #IHGZT #tgsas #intem #pekgyo #ideas #ERBOS #karsn #bera #dogub #rygyo #dirit #KOZAL #izfas #tuprs #tskb #derim #vakfn",19,75,2136,False,"['vakbn', 'akbnk', 'garan', 'halkb', 'tskb', 'ykbnk', 'skbnk', 'ALBRK', 'ısbtr', 'ISCTR', 'klnma', 'ICBCT', 'qnbfb', 'IHGZT', 'tgsas', 'intem', 'pekgyo', 'ideas', 'ERBOS', 'karsn', 'bera', 'dogub', 'rygyo', 'dirit', 'KOZAL', 'izfas', 'tuprs', 'tskb', 'derim', 'vakfn']",
2021-05-07 16:12:53+00:00,BorsaAnket,"Önümüzdeki hafta Bist100 endeks kapanışı nerede olur? 

#asels #thyao #garan #ecilc #ykbnk #tspor #petkm #deva #eregl #odas #krdmd #borsaanket #bjkas #bist30 #xu100 #sasa #tknsa #tuprs #selec #tuprs #bist #borsa #isfin #pgsus #petkm #eregl #akbnk #bist100 #xu030",0,3,100,False,"['asels', 'thyao', 'garan', 'ecilc', 'ykbnk', 'tspor', 'petkm', 'deva', 'eregl', 'odas', 'krdmd', 'borsaanket', 'bjkas', 'bist30', 'xu100', 'sasa', 'tknsa', 'tuprs', 'selec', 'tuprs', 'bist', 'borsa', 'isfin', 'pgsus', 'petkm', 'eregl', 'akbnk', 'bist100', 'xu030']",
2021-05-07 16:02:06+00:00,TkandBaba6,"Borsada güncel portföy durumunuz nedir?

#bist100 #petkm #tuprs #sasa #kozal #froto #garan #halkb #hekts #gubrf #sise #ekgyo #asels #kozaa #krdmd #eregl #isfin #pgsus #dohol #mgros #akbnk #arclk #bımas #oyakc #tahvl #tcell #tkfen #ttkom #thyao",0,2,113,False,"['bist100', 'petkm', 'tuprs', 'sasa', 'kozal', 'froto', 'garan', 'halkb', 'hekts', 'gubrf', 'sise', 'ekgyo', 'asels', 'kozaa', 'krdmd', 'eregl', 'isfin', 'pgsus', 'dohol', 'mgros', 'akbnk', 'arclk', 'bımas', 'oyakc', 'tahvl', 'tcell', 'tkfen', 'ttkom', 'thyao']",
2021-05-07 15:45:51+00:00,wherechoskuyu,"#TUPRS 

*HSBC, TÜPRAŞ İÇİN 120 TL HEDEF FİYAT İLE ""AL"" TAVSİYESİNİ KORUDU",0,0,1406,False,['TUPRS'],
2021-05-07 15:44:27+00:00,wherechoskuyu,"#TUPRS
 
*ŞEKER YATIRIM, TÜPRAŞ İÇİN HEDEF FİYATINI 145,70 TL'DEN 124,80 TL'YE İNDİRİRKEN, 'AL' TAVSİYESİNİ KORUDU",0,0,1406,False,['TUPRS'],
